Well,X,Y,NTG
201-901,201,901,0.236
201-902,201,902,0.236
201-903,201,903,0.236
201-904,201,904,0.236
201-905,201,905,0.23045
201-906,201,906,0.2517
201-908,201,908,0.2006
201-909,201,909,0.2006
201-910,201,910,0.2006
201-911,201,911,0.3624
201-912,201,912,0.3624
201-913,201,913,0.3624
201-915,201,915,0.3624
201-916,201,916,0.3624
201-917,201,917,0.3624
201-918,201,918,0.3624
201-919,201,919,0.3624
201-920,201,920,0.40025
201-921,201,921,0.40025
201-922,201,922,0.40025
201-923,201,923,0.40025
201-925,201,925,0.388
201-926,201,926,0.388
201-927,201,927,0.388
201-928,201,928,0.388
201-929,201,929,0.388
201-930,201,930,0.33865
202-901,202,901,0.236
202-902,202,902,0.236
202-903,202,903,0.236
202-904,202,904,0.236
202-905,202,905,0.23045
202-906,202,906,0.2517
202-907,202,907,0.2006
202-908,202,908,0.2006
202-909,202,909,0.2006
202-910,202,910,0.2006
202-911,202,911,0.39565
202-912,202,912,0.39565
202-913,202,913,0.39565
202-914,202,914,0.39565
202-915,202,915,0.39565
202-916,202,916,0.39565
202-917,202,917,0.39565
202-918,202,918,0.39565
202-919,202,919,0.39565
202-920,202,920,0.4335
202-921,202,921,0.4335
202-923,202,923,0.4335
202-924,202,924,0.42010000000000003
202-926,202,926,0.40785000000000005
202-927,202,927,0.40785000000000005
202-928,202,928,0.40785000000000005
202-929,202,929,0.40785000000000005
202-930,202,930,0.33865
203-901,203,901,0.236
203-903,203,903,0.236
203-904,203,904,0.236
203-905,203,905,0.23045
203-907,203,907,0.1974
203-908,203,908,0.1974
203-909,203,909,0.1974
203-910,203,910,0.1974
203-911,203,911,0.39565
203-912,203,912,0.39565
203-913,203,913,0.39565
203-914,203,914,0.39565
203-915,203,915,0.39565
203-916,203,916,0.39565
203-917,203,917,0.39565
203-918,203,918,0.39565
203-919,203,919,0.39565
203-920,203,920,0.4335
203-921,203,921,0.4335
203-922,203,922,0.4335
203-923,203,923,0.4335
203-924,203,924,0.42010000000000003
203-925,203,925,0.40785000000000005
203-926,203,926,0.40785000000000005
203-927,203,927,0.40785000000000005
203-928,203,928,0.40785000000000005
203-930,203,930,0.33865
204-901,204,901,0.236
204-902,204,902,0.236
204-903,204,903,0.236
204-905,204,905,0.23045
204-906,204,906,0.2517
204-908,204,908,0.1974
204-909,204,909,0.1974
204-910,204,910,0.1974
204-911,204,911,0.39565
204-912,204,912,0.39565
204-913,204,913,0.39565
204-914,204,914,0.39565
204-915,204,915,0.39565
204-916,204,916,0.39565
204-917,204,917,0.39565
204-918,204,918,0.39565
204-919,204,919,0.39565
204-920,204,920,0.4335
204-921,204,921,0.4335
204-922,204,922,0.4335
204-923,204,923,0.4335
204-924,204,924,0.42585
204-926,204,926,0.4136
204-927,204,927,0.4136
204-928,204,928,0.4136
204-929,204,929,0.4136
204-930,204,930,0.33865
205-901,205,901,0.236
205-902,205,902,0.236
205-903,205,903,0.236
205-904,205,904,0.236
205-905,205,905,0.23045
205-906,205,906,0.2517
205-907,205,907,0.1974
205-908,205,908,0.1974
205-909,205,909,0.1974
205-910,205,910,0.1974
205-912,205,912,0.28565
205-913,205,913,0.28565
205-914,205,914,0.3248
205-915,205,915,0.3248
205-917,205,917,0.3248
205-918,205,918,0.3248
205-919,205,919,0.3248
205-920,205,920,0.3248
205-921,205,921,0.33494999999999997
205-922,205,922,0.3431
205-924,205,924,0.3431
205-925,205,925,0.33375
205-926,205,926,0.31035
205-928,205,928,0.2963
205-929,205,929,0.2963
205-930,205,930,0.2637
206-901,206,901,0.236
206-902,206,902,0.236
206-903,206,903,0.236
206-904,206,904,0.236
206-905,206,905,0.21715
206-906,206,906,0.2813
206-907,206,907,0.2636
206-908,206,908,0.25730000000000003
206-909,206,909,0.3249
206-910,206,910,0.3249
206-911,206,911,0.28600000000000003
206-913,206,913,0.28565
206-915,206,915,0.3228
206-916,206,916,0.3228
206-917,206,917,0.3228
206-918,206,918,0.3228
206-919,206,919,0.3228
206-920,206,920,0.3228
206-921,206,921,0.33294999999999997
206-922,206,922,0.3431
206-923,206,923,0.3431
206-924,206,924,0.3431
206-925,206,925,0.33375
206-926,206,926,0.31035
206-927,206,927,0.2963
206-928,206,928,0.2963
206-930,206,930,0.2637
207-901,207,901,0.236
207-902,207,902,0.236
207-903,207,903,0.236
207-904,207,904,0.236
207-905,207,905,0.21715
207-906,207,906,0.2813
207-908,207,908,0.25730000000000003
207-909,207,909,0.3249
207-911,207,911,0.2659
207-913,207,913,0.2659
207-914,207,914,0.2932
207-915,207,915,0.2932
207-916,207,916,0.2932
207-917,207,917,0.2932
207-918,207,918,0.2932
207-920,207,920,0.2932
207-921,207,921,0.3318
207-922,207,922,0.3431
207-923,207,923,0.3431
207-924,207,924,0.3431
207-925,207,925,0.33375
207-926,207,926,0.31035
207-928,207,928,0.2963
207-929,207,929,0.2963
208-901,208,901,0.2743
208-902,208,902,0.2743
208-903,208,903,0.2743
208-904,208,904,0.2743
208-905,208,905,0.21715
208-906,208,906,0.2813
208-907,208,907,0.2636
208-908,208,908,0.25730000000000003
208-909,208,909,0.3249
208-910,208,910,0.3249
208-911,208,911,0.3801
208-912,208,912,0.3801
208-913,208,913,0.3801
208-914,208,914,0.3801
208-916,208,916,0.35655000000000003
208-917,208,917,0.35655000000000003
208-918,208,918,0.32520000000000004
208-920,208,920,0.3984
208-921,208,921,0.365
208-922,208,922,0.365
208-923,208,923,0.365
208-924,208,924,0.365
208-926,208,926,0.35565
208-927,208,927,0.3416
208-928,208,928,0.3416
208-929,208,929,0.36265000000000003
208-930,208,930,0.2637
209-901,209,901,0.3394
209-902,209,902,0.3394
209-903,209,903,0.3394
209-904,209,904,0.3394
209-905,209,905,0.28225
209-906,209,906,0.2813
209-907,209,907,0.2636
209-908,209,908,0.25730000000000003
209-909,209,909,0.3249
209-910,209,910,0.3249
209-911,209,911,0.3801
209-912,209,912,0.3801
209-913,209,913,0.3801
209-914,209,914,0.3801
209-915,209,915,0.3971
209-917,209,917,0.35655000000000003
209-918,209,918,0.32520000000000004
209-919,209,919,0.32520000000000004
