Well,X,Y,NTG
201-901,201,901,0.236
201-902,201,902,0.236
201-903,201,903,0.236
201-904,201,904,0.2092
201-905,201,905,0.2092
201-906,201,906,0.2517
201-908,201,908,0.26275000000000004
201-909,201,909,0.26275000000000004
201-910,201,910,0.26275000000000004
201-911,201,911,0.33425
201-912,201,912,0.31415000000000004
201-913,201,913,0.40025
201-915,201,915,0.40025
201-916,201,916,0.40025
201-917,201,917,0.40025
201-918,201,918,0.40025
201-919,201,919,0.40025
201-920,201,920,0.4381
201-921,201,921,0.4381
201-922,201,922,0.4381
201-923,201,923,0.4381
201-925,201,925,0.42010000000000003
201-926,201,926,0.42010000000000003
201-927,201,927,0.42010000000000003
201-928,201,928,0.42010000000000003
201-929,201,929,0.42010000000000003
201-930,201,930,0.42010000000000003
202-901,202,901,0.236
202-902,202,902,0.236
202-903,202,903,0.236
202-904,202,904,0.2092
202-905,202,905,0.2092
202-906,202,906,0.2517
202-907,202,907,0.199
202-908,202,908,0.26275000000000004
202-909,202,909,0.26275000000000004
202-910,202,910,0.26275000000000004
202-911,202,911,0.33425
202-912,202,912,0.31415000000000004
202-913,202,913,0.39565
202-914,202,914,0.39565
202-915,202,915,0.39565
202-916,202,916,0.39565
202-917,202,917,0.39565
202-918,202,918,0.39565
202-919,202,919,0.39565
202-920,202,920,0.4155
202-921,202,921,0.4155
202-923,202,923,0.4155
202-924,202,924,0.4155
202-926,202,926,0.4021
202-927,202,927,0.4021
202-928,202,928,0.4021
202-929,202,929,0.4021
202-930,202,930,0.4021
203-901,203,901,0.236
203-903,203,903,0.236
203-904,203,904,0.2092
203-905,203,905,0.2092
203-907,203,907,0.1974
203-908,203,908,0.26115
203-909,203,909,0.26115
203-910,203,910,0.26115
203-911,203,911,0.3061
203-912,203,912,0.28600000000000003
203-913,203,913,0.3675
203-914,203,914,0.37785
203-915,203,915,0.37785
203-916,203,916,0.37785
203-917,203,917,0.37785
203-918,203,918,0.37785
203-919,203,919,0.37785
203-920,203,920,0.38705
203-921,203,921,0.38705
203-922,203,922,0.38705
203-923,203,923,0.38705
203-924,203,924,0.38705
203-925,203,925,0.37365000000000004
203-926,203,926,0.37365000000000004
203-927,203,927,0.37365000000000004
203-928,203,928,0.37365000000000004
203-930,203,930,0.37365000000000004
204-901,204,901,0.236
204-902,204,902,0.236
204-903,204,903,0.236
204-905,204,905,0.2092
204-906,204,906,0.2517
204-908,204,908,0.26115
204-909,204,909,0.26115
204-910,204,910,0.26115
204-911,204,911,0.3061
204-912,204,912,0.28600000000000003
204-913,204,913,0.3675
204-914,204,914,0.37785
204-915,204,915,0.37785
204-916,204,916,0.37785
204-917,204,917,0.37785
204-918,204,918,0.37785
204-919,204,919,0.37785
204-920,204,920,0.38705
204-921,204,921,0.38705
204-922,204,922,0.38705
204-923,204,923,0.38705
204-924,204,924,0.38705
204-926,204,926,0.3794
204-927,204,927,0.3794
204-928,204,928,0.3794
204-929,204,929,0.3794
204-930,204,930,0.3794
205-901,205,901,0.236
205-902,205,902,0.236
205-903,205,903,0.236
205-904,205,904,0.2092
205-905,205,905,0.2092
205-906,205,906,0.2517
205-907,205,907,0.1974
205-908,205,908,0.26115
205-909,205,909,0.26115
205-910,205,910,0.26115
205-912,205,912,0.28600000000000003
205-913,205,913,0.35515
205-914,205,914,0.36550000000000005
205-915,205,915,0.36195
205-917,205,917,0.3268
205-918,205,918,0.32365
205-919,205,919,0.32365
205-920,205,920,0.3318
205-921,205,921,0.3318
205-922,205,922,0.3318
205-924,205,924,0.3318
205-925,205,925,0.3318
205-926,205,926,0.33865
205-928,205,928,0.3568
205-929,205,929,0.3125
205-930,205,930,0.3125
206-901,206,901,0.236
206-902,206,902,0.236
206-903,206,903,0.236
206-904,206,904,0.2092
206-905,206,905,0.2092
206-906,206,906,0.2517
206-907,206,907,0.19355
206-908,206,908,0.26115
206-909,206,909,0.26115
206-910,206,910,0.26115
206-911,206,911,0.30574999999999997
206-913,206,913,0.3548
206-915,206,915,0.35125
206-916,206,916,0.32365
206-917,206,917,0.32365
206-918,206,918,0.3205
206-919,206,919,0.3205
206-920,206,920,0.3205
206-921,206,921,0.3205
206-922,206,922,0.3205
206-923,206,923,0.3205
206-924,206,924,0.3084
206-925,206,925,0.3084
206-926,206,926,0.3084
206-927,206,927,0.32655
206-928,206,928,0.32655
206-930,206,930,0.2682
207-901,207,901,0.236
207-902,207,902,0.236
207-903,207,903,0.236
207-904,207,904,0.2092
207-905,207,905,0.2092
207-906,207,906,0.2517
207-908,207,908,0.26115
207-909,207,909,0.26115
207-911,207,911,0.28600000000000003
207-913,207,913,0.33505000000000007
207-914,207,914,0.33505000000000007
207-915,207,915,0.3315
207-916,207,916,0.32365
207-917,207,917,0.32365
207-918,207,918,0.3205
207-920,207,920,0.3205
207-921,207,921,0.3205
207-922,207,922,0.3205
207-923,207,923,0.3205
207-924,207,924,0.3084
207-925,207,925,0.3084
207-926,207,926,0.3084
207-928,207,928,0.32655
207-929,207,929,0.26595
208-901,208,901,0.236
208-902,208,902,0.236
208-903,208,903,0.236
208-904,208,904,0.2092
208-905,208,905,0.2092
208-906,208,906,0.2517
208-907,208,907,0.19355
208-908,208,908,0.26115
208-909,208,909,0.26115
208-910,208,910,0.26115
208-911,208,911,0.3516
208-912,208,912,0.3315
208-913,208,913,0.40065000000000006
208-914,208,914,0.40065000000000006
208-916,208,916,0.36195
208-917,208,917,0.36195
208-918,208,918,0.30095000000000005
208-920,208,920,0.30095000000000005
208-921,208,921,0.30095000000000005
208-922,208,922,0.30095000000000005
208-923,208,923,0.30095000000000005
208-924,208,924,0.30095000000000005
208-926,208,926,0.30095000000000005
208-927,208,927,0.31715000000000004
208-928,208,928,0.31715000000000004
208-929,208,929,0.26595
208-930,208,930,0.26595
209-901,209,901,0.3011
209-902,209,902,0.3011
209-903,209,903,0.3011
209-904,209,904,0.3394
209-905,209,905,0.28225
209-906,209,906,0.2384
209-907,209,907,0.2074
209-908,209,908,0.275
209-909,209,909,0.275
209-910,209,910,0.275
209-911,209,911,0.3395
209-912,209,912,0.3194
