,Well,X,Y,NTG
0,201-901,201,901,0.24430044248037883
1,201-902,201,902,0.24367610036336226
2,201-903,201,903,0.2405981530568021
3,201-904,201,904,0.25725
4,201-905,201,905,0.22472614730047852
5,201-906,201,906,0.21763333333333335
6,201-908,201,908,0.2139475180106472
7,201-909,201,909,0.21883192670582438
8,201-910,201,910,0.26994285714285715
9,201-911,201,911,0.2930571428571429
10,201-912,201,912,0.34401063896580397
11,201-913,201,913,0.35211151293334336
12,201-915,201,915,0.3554510899830007
13,201-916,201,916,0.35053333333333336
14,201-917,201,917,0.3474065398980042
15,201-918,201,918,0.3951460964142977
16,201-919,201,919,0.4324643181578497
17,201-920,201,920,0.43219884559745386
18,201-921,201,921,0.43184747061735673
19,201-922,201,922,0.43196666666666667
20,201-923,201,923,0.4342892352261675
21,201-925,201,925,0.42010000000000003
22,201-926,201,926,0.4170116882454314
23,201-927,201,927,0.3769776007576129
24,201-928,201,928,0.3687687516990291
25,201-929,201,929,0.3637853400150223
26,201-930,201,930,0.3487845971347494
27,202-901,202,901,0.24769932309740242
28,202-902,202,902,0.24879947230194344
29,202-903,202,903,0.24203397247165828
30,202-904,202,904,0.23450648718797745
31,202-905,202,905,0.23190253718846526
32,202-906,202,906,0.2305336869627348
33,202-907,202,907,0.22176631303726516
34,202-908,202,908,0.22039746281153472
35,202-909,202,909,0.19918714099164078
36,202-910,202,910,0.25334999999999996
37,202-911,202,911,0.3335086968024393
38,202-912,202,912,0.33907977643839476
39,202-913,202,913,0.34653865467133876
40,202-914,202,914,0.35467019788279014
41,202-915,202,915,0.35139899500025185
42,202-916,202,916,0.3471969850007556
43,202-917,202,917,0.34459999999999996
44,202-918,202,918,0.3752023802998311
45,202-919,202,919,0.386608795281707
46,202-920,202,920,0.43190501103933576
47,202-921,202,921,0.43111032827483875
48,202-923,202,923,0.43271076477383247
49,202-924,202,924,0.42010000000000003
50,202-926,202,926,0.40565369543531193
51,202-927,202,927,0.375235464160524
52,202-928,202,928,0.36342946501386963
53,202-929,202,929,0.3477186995662818
54,202-930,202,930,0.3255344469397941
55,203-901,203,901,0.2499224352683305
56,203-903,203,903,0.2405981530568021
